veiculo_titulo,veiculo_link_lote,veiculo_imagem,veiculo_patio_uf,veiculo_ano_fabricacao,veiculo_km,veiculo_valor_lance_atual,veiculo_situacao,veiculo_data_leilao,veiculo_tipo_combustivel,veiculo_cor,veiculo_possui_chave,veiculo_tipo_retomada,veiculo_tipo,veiculo_valor_fipe,veiculo_fabricante,veiculo_modelo,veiculo_versao
HYUNDAI/HB20S PREMIUM (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/hyundai/hb20s-premium-(4p)/ano.2015/7f2b4151-d37d-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752239138411_e730bbcf-54ee-4d25-b794-e4eea147d790_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2015,101.035,29700.00,Leilão ao vivo em: 3 dias33m13s,15/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,55354.00,HYUNDAI,HB20S,PREMIUM (4P)
HONDA/CITY EX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/honda/city-ex-(4p)/ano.2015/f4d41316-fc0e-11ef-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752239137605_48d6f61e-1fc6-4b97-ae16-5f95bf341268_pequena_leilo.webp,PATIO 3 GOIANIA (APARECIDA DE GOIÂNIA/GO),2015,137.029,34600.00,Leilão ao vivo em: 3 dias33m42s,15/07/2025,Flex,Cinza,Sim,Recuperado de Financiamento,Carros,65440.00,HONDA,CITY,EX (4P)
FIAT/STRADA WORKING,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/strada-working/ano.2015/9a775a86-0329-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752239400801_9408addf-fe72-4290-83c1-ca9318bc18fa_pequena_leilo.webp,PATIO 3 GOIANIA (APARECIDA DE GOIÂNIA/GO),2014,216.698,25400.00,Leilão ao vivo em: 3 dias34m11s,15/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,46854.00,FIAT,STRADA,WORKING
CHEVROLET/ONIX LT 1.0 (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-lt-1.0-(4p)/ano.2015/ed21cccc-3268-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752239433748_4bcec906-983a-4f10-a091-78bd1fc64ff4_pequena_leilo.webp,PATIO 3 GOIANIA (APARECIDA DE GOIÂNIA/GO),2015,105.180,23600.00,Leilão ao vivo em: 3 dias34m40s,15/07/2025,Flex,Vermelha,Sim,Recuperado de Financiamento,Carros,42781.00,CHEVROLET,ONIX,LT 1.0 (4P)
PEUGEOT/207HB XR (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/peugeot/207hb-xr-(2p%2F4p)/ano.2010/656571c7-4a27-11ed-a391-02420a000011,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2009,128.606,9300.00,Leilão: Leilão: 15/07/2025 Ter • 12:30,15/07/2025,Flex,Preta,Sim,-,Carros,19846.00,PEUGEOT,207HB,XR (2P/4P)
FORD/FIESTA 1.6 FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/fiesta-1.6-flex-(4p)/ano.2014/a710f2dd-61b4-11ed-ac6f-02420a00007c,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2013,103.014,19300.00,Leilão ao vivo em: 3 dias35m39s,15/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,35553.00,FORD,FIESTA,1.6 FLEX (4P)
CHEVROLET/AGILE LTZ (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/agile-ltz-(2p%2F4p)/ano.2011/bfbfeb86-4a27-11ed-a391-02420a000011,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2011,170.887,15300.00,Leilão: Leilão: 15/07/2025 Ter • 12:30,15/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,32989.00,CHEVROLET,AGILE,LTZ (2P/4P)
VOLKSWAGEN/NOVO GOL (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/novo-gol-(4p%2F2p)/ano.2014/97552f15-d7f5-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752239433169_5118a7f2-88ec-4f50-96a8-9f26adf7ae47_pequena_leilo.webp,PATIO 3 GOIANIA (APARECIDA DE GOIÂNIA/GO),2013,199.563,19100.00,Leilão ao vivo em: 3 dias36m37s,15/07/2025,Flex,Vermelha,Sim,Recuperado de Financiamento,Carros,40945.00,VOLKSWAGEN,NOVO,GOL (4P/2P)
TOYOTA/COROLLA XEI FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/toyota/corolla-xei-flex-(4p)/ano.2014/cf7352b2-2427-11f0-bcc9-02420a000216,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752239461469_4ee29809-bcd1-4306-8c29-08bae1668ebd_pequena_leilo.webp,PATIO 3 GOIANIA (APARECIDA DE GOIÂNIA/GO),2013,129.338,39000.00,Leilão ao vivo em: 3 dias37m7s,15/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,69004.00,TOYOTA,COROLLA,XEI FLEX (4P)
MITSUBISHI/PAJERO HPE D,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/mitsubishi/pajero-hpe-d/ano.2009/86ec7b5c-3282-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752239281863_d8e360f1-6d78-43fc-ac47-2673c8415e8a_pequena_leilo.webp,PATIO 3 GOIANIA (APARECIDA DE GOIÂNIA/GO),2009,268.478,50300.00,Leilão ao vivo em: 3 dias37m36s,15/07/2025,Diesel,Preta,Sim,Recuperado de Financiamento,Carros,91343.00,MITSUBISHI,PAJERO,HPE D
TOYOTA/HILUX CABINE DUPLA SR,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/toyota/hilux-cabine-dupla-sr/ano.2013/0a756294-4394-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752239312879_0c52877b-bf53-4992-8f6a-84060d8e4879_pequena_leilo.webp,PATIO 3 GOIANIA (APARECIDA DE GOIÂNIA/GO),2013,191.110,68500.00,Leilão ao vivo em: 3 dias38m5s,15/07/2025,Diesel,Prata,Sim,Recuperado de Financiamento,Carros,123628.00,TOYOTA,HILUX,CABINE DUPLA SR
FORD/KA FLEX (2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ka-flex-(2p)/ano.2013/f9833db0-e494-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752239344260_eff6308c-189c-45c6-90cb-2cae99427a8c_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2013,76.825,14300.00,Leilão ao vivo em: 3 dias38m35s,15/07/2025,Flex,Vermelha,Sim,Recuperado de Financiamento,Carros,26712.00,FORD,KA,FLEX (2P)
FIAT/500 CULT (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/500-cult-(2p%2F4p)/ano.2012/138fdcdb-3023-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752239253379_1659d352-e5da-4a07-99a7-17aa9f2dae6b_pequena_leilo.webp,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2011,211.209,23000.00,Leilão ao vivo em: 3 dias39m4s,15/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,40943.00,FIAT,500,CULT (2P/4P)
MITSUBISHI/OUTLANDER,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/mitsubishi/outlander/ano.2012/fedb1ce2-19fb-11f0-bf87-02420a000088,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752239341315_4bf3478e-6fc9-47ad-96a4-f179534c4ab6_pequena_leilo.webp,PATIO 3 GOIANIA (APARECIDA DE GOIÂNIA/GO),2011,225.622,30000.00,Leilão ao vivo em: 3 dias39m34s,15/07/2025,Gasolina,Preta,Sim,Recuperado de Financiamento,Carros,54470.00,MITSUBISHI,OUTLANDER,N/A
CHEVROLET/S10 COLINA S 4X4 CABINE SIMPLES,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/s10-colina-s-4x4-cabine-simples/ano.2011/9599f130-3cb5-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752239223352_56483b4d-5162-4e87-acda-89799124e581_pequena_leilo.webp,PATIO 3 GOIANIA (APARECIDA DE GOIÂNIA/GO),2010,N/A,37800.00,Leilão ao vivo em: 3 dias40m3s,15/07/2025,Diesel,Branca,Sim,Recuperado de Financiamento,Carros,68684.00,CHEVROLET,S10,COLINA S 4X4 CABINE SIMPLES
CHEVROLET/CLASSIC LS (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/classic-ls-(2p%2F4p)/ano.2011/d59c94b2-3cc0-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752239373329_f0f6db28-5469-48a1-b0ad-7ff2a96496ae_pequena_leilo.webp,PATIO 3 GOIANIA (APARECIDA DE GOIÂNIA/GO),2010,N/A,12600.00,Leilão ao vivo em: 3 dias40m33s,15/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,22895.00,CHEVROLET,CLASSIC,LS (2P/4P)
CITROEN/C4 PALLAS EAF (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/citroen/c4-pallas-eaf-(4p)/ano.2010/f94a72cf-358f-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752239192747_1ae05ca0-6abf-403c-bf7d-042f65ccd6da_pequena_leilo.webp,PATIO 3 GOIANIA (APARECIDA DE GOIÂNIA/GO),2009,N/A,13700.00,Leilão ao vivo em: 3 dias41m2s,15/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,24841.00,CITROEN,C4,PALLAS EAF (4P)
CHEVROLET/CRUZE LTZ HB AT (4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/chevrolet/cruze-ltz-hb-at-(4p)/ano.2019/47dc7a59-511d-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752171630766_5c0ccbc2-9111-4abe-a4f1-728a531b4e00_pequena_leilo.webp,BRASILIA-DF (TAGUATINGA/DF),2018,N/A,36200.00,Leilão ao vivo em: 3 dias 4h6m2s,15/07/2025,Flex,Branca,Sim,-,Carros,99015.00,CHEVROLET,CRUZE,LTZ HB AT (4P)
KIA/SORENTO EX2 G25,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/kia/sorento-ex2-g25/ano.2014/290f1669-4c70-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752171690931_61ff8247-58ec-46b2-8c04-3e7fbe3f8b85_pequena_leilo.webp,BRASILIA-DF (TAGUATINGA/DF),2013,180.899,22800.00,Leilão ao vivo em: 3 dias 4h6m31s,15/07/2025,Gasolina,Cinza,Sim,-,Carros,66420.00,KIA,SORENTO,EX2 G25
MINI/COOPER S,https://leilo.com.br/leilao/eusebio-ceara/carros/mini/cooper-s/ano.2023/e1d32986-2b87-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752172501961_b7ed24b8-372c-4bb5-97a1-00b4049d14a2_pequena_leilo.webp,PATIO FORTALEZA/CE (EUSÉBIO/CE),2023,7.211,59100.00,Leilão ao vivo em: 3 dias 4h7m31s,15/07/2025,Gasolina,Preta,Sim,-,Carros,196667.00,MINI,COOPER,S
MITSUBISHI/PAJERO SPORT HPE,https://leilo.com.br/leilao/eusebio-ceara/carros/mitsubishi/pajero-sport-hpe/ano.2008/90299692-37fd-11f0-bd5d-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752172290357_bb18b5fe-c6ad-4d1a-b2ef-0fcdb568f08a_pequena_leilo.webp,PATIO FORTALEZA/CE (EUSÉBIO/CE),2008,167.106,16400.00,Leilão ao vivo em: 3 dias 4h7m59s,15/07/2025,Diesel,Preta,Sim,-,Carros,54617.00,MITSUBISHI,PAJERO,SPORT HPE
FIAT/SIENA EL FLEX (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/siena-el-flex-(4p)/ano.2015/b0aad8d8-3c03-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752172265172_8dafab49-09f2-4c3d-a367-a5d0efc6c7be_pequena_leilo.webp,PATIO FORTALEZA/CE (EUSÉBIO/CE),2014,N/A,11000.00,Leilão ao vivo em: 3 dias 4h8m29s,15/07/2025,Flex,Preta,Sim,-,Carros,36562.00,FIAT,SIENA,EL FLEX (4P)
VOLVO/XC40 T5 MOMENTUM,https://leilo.com.br/leilao/eusebio-ceara/carros/volvo/xc40-t5-momentum/ano.2019/ab72ecfb-4232-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752172262028_74412d66-382b-487d-96f7-1bd3e4432d84_pequena_leilo.webp,PATIO FORTALEZA/CE (EUSÉBIO/CE),2019,104.840,42300.00,Leilão ao vivo em: 3 dias 4h8m58s,15/07/2025,Gasolina,Preta,Sim,-,Carros,140696.00,VOLVO,XC40,T5 MOMENTUM
CHEVROLET/EQUINOX PREMIER,https://leilo.com.br/leilao/benevides-para/carros/chevrolet/equinox-premier/ano.2018/972c0120-3b31-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752172230627_5d509075-5d39-44f8-9066-c82b48bfc5e0_pequena_leilo.webp,BENEVIDES-PA (BENEVIDES/PA),2018,N/A,38200.00,Leilão ao vivo em: 3 dias 4h9m28s,15/07/2025,Gasolina,Preta,Sim,-,Carros,113992.00,CHEVROLET,EQUINOX,PREMIER
VOLKSWAGEN/POLO SEDAN 1.6 (4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/volkswagen/polo-sedan-1.6-(4p)/ano.2008/6131f16b-4e15-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752172203372_55a40a84-ade8-4bc2-b413-a61450ccde02_pequena_leilo.webp,BRASILIA-DF (TAGUATINGA/DF),2007,374.743,9300.00,Leilão ao vivo em: 3 dias 4h9m57s,15/07/2025,Flex,Prata,Sim,-,Carros,27871.00,VOLKSWAGEN,POLO,SEDAN 1.6 (4P)
CHEVROLET/CORSA HATCH MAXX (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/corsa-hatch-maxx-(2p%2F4p)/ano.2012/9e1cda16-3d97-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752171786321_1ef641a1-206c-43c2-b722-ac26f10bdcec_pequena_leilo.webp,PATIO FORTALEZA/CE (EUSÉBIO/CE),2012,N/A,9000.00,Leilão ao vivo em: 3 dias 4h10m47s,15/07/2025,Flex,Prata,Sim,-,Carros,29955.00,CHEVROLET,CORSA,HATCH MAXX (2P/4P)
NISSAN/KICKS S DIRECT CVT,https://leilo.com.br/leilao/eusebio-ceara/carros/nissan/kicks-s-direct-cvt/ano.2020/3a174469-4ea9-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752171780854_aa0cbccf-61a0-4c87-8899-430af868984e_pequena_leilo.webp,PATIO FORTALEZA/CE (EUSÉBIO/CE),2020,51.804,28700.00,Leilão ao vivo em: 3 dias 4h11m17s,15/07/2025,Flex,Cinza,Sim,-,Carros,79410.00,NISSAN,KICKS,S DIRECT CVT
TOYOTA/HILUX SWDMDA4JD,https://leilo.com.br/leilao/eusebio-ceara/carros/toyota/hilux-swdmda4jd/ano.2020/f67c4348-0107-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752252630980_2fbafaa2-1362-48ea-bf07-c0a1a3458742_pequena_leilo.webp,PATIO FORTALEZA/CE (EUSÉBIO/CE),2019,139.851,80400.00,Leilão ao vivo em: 3 dias 4h11m46s,15/07/2025,Diesel,Branca,Sim,-,Carros,264747.00,TOYOTA,HILUX,SWDMDA4JD
VOLKSWAGEN/T CROSS COMFORTLINE AD,https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/t-cross-comfortline-ad/ano.2022/a7adfe1e-2c4f-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752245190319_12b2d762-b6bb-4fe6-80b3-6595ceafab49_pequena_leilo.webp,PATIO FORTALEZA/CE (EUSÉBIO/CE),2021,54.691,32000.00,Leilão ao vivo em: 3 dias 4h12m15s,15/07/2025,Flex,Branca,Sim,-,Carros,106500.00,VOLKSWAGEN,T,CROSS COMFORTLINE AD
HONDA/CITY DX FLEX (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/honda/city-dx-flex-(4p)/ano.2011/2cf785d1-35bd-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752171813261_432910c9-f480-42a2-b00a-4b9dd69c62be_pequena_leilo.webp,PATIO FORTALEZA/CE (EUSÉBIO/CE),2010,341.661,12600.00,Leilão ao vivo em: 3 dias 4h12m44s,15/07/2025,Flex,Cinza,Sim,-,Carros,41899.00,HONDA,CITY,DX FLEX (4P)
FORD/FIESTA SEDAN 1.6 FLEX (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/ford/fiesta-sedan-1.6-flex-(4p)/ano.2014/52819da5-0c03-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752245220446_6104c13e-9655-43f3-8a30-3e44426e2c4f_pequena_leilo.webp,PATIO FORTALEZA/CE (EUSÉBIO/CE),2013,N/A,10700.00,Leilão ao vivo em: 3 dias 4h13m13s,15/07/2025,Flex,Prata,Sim,-,Carros,36653.00,FORD,FIESTA,SEDAN 1.6 FLEX (4P)
RENAULT/CLIO EXP 16V H (4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/renault/clio-exp-16v-h-(4p)/ano.2006/d00159c2-2212-11f0-bcc9-02420a000216,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752245373005_57f1961e-b001-4dd2-bfb5-8f63629e4eaf_pequena_leilo.webp,BRASILIA-DF (TAGUATINGA/DF),2006,189.927,6700.00,Leilão ao vivo em: 3 dias 4h13m42s,15/07/2025,Flex,Cinza,Sim,-,Carros,16022.00,RENAULT,CLIO,EXP 16V H (4P)
FIAT/ARGO,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/fiat/argo/ano.2020/158c56d4-478b-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752245405502_8c5ecd9f-36f8-45b5-b5b0-249b68b0b173_pequena_leilo.webp,BRASILIA-DF (TAGUATINGA/DF),2019,84.370,16100.00,Leilão ao vivo em: 3 dias 4h14m42s,15/07/2025,Flex,Branca,Sim,-,Carros,53561.00,FIAT,ARGO,N/A
FIAT/SIENA ATTRACTIVE (4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/fiat/siena-attractive-(4p)/ano.2015/f1bbc04e-4c38-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752245343247_44e13486-2ab5-45b0-b880-6a75ed905020_pequena_leilo.webp,BRASILIA-DF (TAGUATINGA/DF),2014,159.155,13200.00,Leilão ao vivo em: 3 dias 4h15m11s,15/07/2025,Flex,Prata,Sim,-,Carros,36850.00,FIAT,SIENA,ATTRACTIVE (4P)
CHEVROLET/PRISMA JOYE 1.0 MECANICO (4P),https://leilo.com.br/leilao/candeias-bahia/carros/chevrolet/prisma-joye-1.0-mecanico-(4p)/ano.2019/b27bef9b-4a27-11ed-a391-02420a000011,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO SALVADOR-BA (CANDEIAS/BA),2018,N/A,12400.00,Leilão: Leilão: 15/07/2025 Ter • 17:00,15/07/2025,Flex,Branca,Sim,Recuperado de Seguradora,Carros,47837.00,CHEVROLET,PRISMA,JOYE 1.0 MECANICO (4P)
FORD/FIESTA SEDAN 1.6 FLEX (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/ford/fiesta-sedan-1.6-flex-(4p)/ano.2014/57c814d5-cded-11ef-8e48-02420a000017,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO FORTALEZA/CE (EUSÉBIO/CE),2013,N/A,10200.00,Leilão ao vivo em: 3 dias 4h18m10s,15/07/2025,Flex,Branca,Sim,-,Carros,36653.00,FORD,FIESTA,SEDAN 1.6 FLEX (4P)
CHEVROLET/ONIX 10MT LT1,https://leilo.com.br/leilao/benevides-para/carros/chevrolet/onix-10mt-lt1/ano.2023/1a739dee-d348-11ef-903d-02420a000042,https://leilo.com.br/lote/fotos-modelo/carro.jpg,BENEVIDES-PA (BENEVIDES/PA),2022,16.997,21500.00,Leilão ao vivo em: 3 dias 4h19m9s,15/07/2025,Flex,Azul,Sim,Recuperado de Financiamento,Carros,69304.00,CHEVROLET,ONIX,10MT LT1
VOLKSWAGEN/POLO MCA,https://leilo.com.br/leilao/benevides-para/carros/volkswagen/polo-mca/ano.2018/ca43c1b4-4a27-11ed-a391-02420a000011,https://leilo.com.br/lote/fotos-modelo/carro.jpg,BENEVIDES-PA (BENEVIDES/PA),2017,139.488,18400.00,Leilão: Leilão: 15/07/2025 Ter • 17:00,15/07/2025,Flex,Branca,Sim,-,Carros,61270.00,VOLKSWAGEN,POLO,MCA
FIAT/ARGO DRIVE 1.0 (4P),https://leilo.com.br/leilao/manaus-amazonas/carros/fiat/argo-drive-1.0-(4p)/ano.2023/4db97450-245c-11f0-bcc9-02420a000216,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752245400470_9019fb25-6f7e-4f55-ba6a-8ae951e2eefd_pequena_leilo.webp,PATIO MANAUS (MANAUS/AM),2022,18.057,19700.00,Leilão ao vivo em: 3 dias 4h20m8s,15/07/2025,Flex,Branca,Sim,-,Carros,65434.00,FIAT,ARGO,DRIVE 1.0 (4P)
RENAULT/KWID INTENSE 2 (4P),https://leilo.com.br/leilao/manaus-amazonas/carros/renault/kwid-intense-2-(4p)/ano.2023/3b64b878-1487-11f0-b6cf-02420a00009e,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752245611722_7fde41be-1181-4b09-bacf-62e75cad3068_pequena_leilo.webp,PATIO MANAUS (MANAUS/AM),2022,22.409,16800.00,Leilão ao vivo em: 3 dias 4h20m38s,15/07/2025,Flex,Branca,Sim,-,Carros,54800.00,RENAULT,KWID,INTENSE 2 (4P)
CHEVROLET/ONIX 10MT LT2,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-10mt-lt2/ano.2024/6746f538-406d-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752245310772_4a000949-6eec-4b3b-8b3e-4c5abbec98bf_pequena_leilo.webp,PATIO FORTALEZA/CE (EUSÉBIO/CE),2023,21.805,22100.00,Leilão ao vivo em: 3 dias 4h21m37s,15/07/2025,Flex,Prata,Sim,-,Carros,72116.00,CHEVROLET,ONIX,10MT LT2
HONDA/CIVIC EXR (4P),https://leilo.com.br/leilao/candeias-bahia/carros/honda/civic-exr-(4p)/ano.2014/23ba99f7-37fa-11f0-bd5d-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752245647825_5b73562e-c02f-4f55-8751-6f06ed406505_pequena_leilo.webp,PATIO SALVADOR-BA (CANDEIAS/BA),2013,107.748,27900.00,Leilão ao vivo em: 3 dias 4h22m7s,15/07/2025,Flex,Prata,Sim,-,Carros,74246.00,HONDA,CIVIC,EXR (4P)
FIAT/UNO MILLE WAY ECONOMY (2P/4P),https://leilo.com.br/leilao/candeias-bahia/carros/fiat/uno-mille-way-economy-(2p%2F4p)/ano.2012/fa3133b0-3bb4-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752245284552_ed144786-76d0-4bce-940b-4446bc0ef4e3_pequena_leilo.webp,PATIO SALVADOR-BA (CANDEIAS/BA),2011,175.294,8200.00,Leilão ao vivo em: 3 dias 4h23m6s,15/07/2025,Flex,Branca,Sim,-,Carros,27277.00,FIAT,UNO,MILLE WAY ECONOMY (2P/4P)
RENAULT/KWID ZEN 1.0 MECANICO (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/renault/kwid-zen-1.0-mecanico-(4p)/ano.2022/8025fb4c-30fb-11f0-9f79-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO FORTALEZA/CE (EUSÉBIO/CE),2021,N/A,14100.00,Leilão: Leilão: 15/07/2025 Ter • 17:00,15/07/2025,Flex,Branca,Não,-,Carros,46706.00,RENAULT,KWID,ZEN 1.0 MECANICO (4P)
FIAT/UNO ECONOMY (4P/2P),https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/uno-economy-(4p%2F2p)/ano.2013/99286822-3d92-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752245280631_f9f318e5-e8a7-4799-8d19-f5808a41c7be_pequena_leilo.webp,PATIO FORTALEZA/CE (EUSÉBIO/CE),2012,167.160,9400.00,Leilão ao vivo em: 3 dias 4h24m4s,15/07/2025,Flex,Branca,Sim,-,Carros,31085.00,FIAT,UNO,ECONOMY (4P/2P)
VOLKSWAGEN/VOYAGE TRENDLINE MB (4P),https://leilo.com.br/leilao/candeias-bahia/carros/volkswagen/voyage-trendline-mb-(4p)/ano.2015/08e032cd-2792-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752245253257_0e2697a3-8f3f-455f-a50e-93aa738a2292_pequena_leilo.webp,PATIO SALVADOR-BA (CANDEIAS/BA),2014,N/A,12400.00,Leilão ao vivo em: 3 dias 4h25m33s,15/07/2025,Flex,Branca,Sim,-,Carros,41189.00,VOLKSWAGEN,VOYAGE,TRENDLINE MB (4P)
FIAT/PALIO FIRE FLEX (2P/4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/fiat/palio-fire-flex-(2p%2F4p)/ano.2008/1b2a33b5-452b-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752245641490_7409c4a6-9afa-4888-8436-a67fe46c1ae6_pequena_leilo.webp,BRASILIA-DF (TAGUATINGA/DF),2007,198.120,5800.00,Leilão ao vivo em: 3 dias 4h26m2s,15/07/2025,Flex,Azul,Sim,-,Carros,18152.00,FIAT,PALIO,FIRE FLEX (2P/4P)
CHEVROLET/ONIX 10MT LT2,https://leilo.com.br/leilao/benevides-para/carros/chevrolet/onix-10mt-lt2/ano.2024/85d2ef98-4240-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752245671058_14e5aa4f-cff2-4b5a-8d28-79f9fcffb6e8_pequena_leilo.webp,BENEVIDES-PA (BENEVIDES/PA),2023,N/A,21700.00,Leilão ao vivo em: 3 dias 4h27m2s,15/07/2025,Flex,Cinza,Sim,-,Carros,72116.00,CHEVROLET,ONIX,10MT LT2
