Título,Link,Imagem,UF,Ano,KM,Valor do Lance,Situação,Data Leilão,Detalhe Ano Veículo,Detalhe Combustível,Detalhe KM Veículo,Detalhe Valor Mercado,Detalhe Cor,Detalhe Possui Chave,Detalhe Tipo Retomada,Detalhe Localização,Detalhe Tipo Veículo
CHEVROLET/COBALT LTZ (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/cobalt-ltz-(4p)/ano.2015/86afab81-30f6-11f0-9f79-02420a000005,N/A,GO,2014,170.562 km,"R$ 23.600,00",Leilão: Leilão: 24/06/2025 Ter • 12:30,24/06/2025,,,,,,,,,
HYUNDAI/HB20 COMFORT (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/hyundai/hb20-comfort-(4p)/ano.2019/e9373b11-0b3e-11f0-8c72-02420a00002d,N/A,GO,2019,199.323 km,"R$ 29.000,00",Leilão ao vivo em: 2 dias 2h15m45s,24/06/2025,,,,,,,,,
BMW/320I PG51 (4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/bmw/320i-pg51-(4p)/ano.2011/08be5f27-b704-11ef-8e48-02420a000017,N/A,DF,2010,190.174 km,"R$ 35.700,00",Leilão ao vivo em: 2 dias 2h16m7s,24/06/2025,,,,,,,,,
NISSAN/VERSA 16 SV (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/nissan/versa-16-sv-(2p%2F4p)/ano.2016/a4a34904-4a27-11ed-a391-02420a000011,N/A,GO,2015,79.960 km,"R$ 21.000,00",Leilão: Leilão: 24/06/2025 Ter • 12:30,24/06/2025,,,,,,,,,
JEEP/COMPASS LIMITED S,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/jeep/compass-limited-s/ano.2021/af252ec3-3008-11f0-9f79-02420a000005,N/A,GO,2020,116.459 km,"R$ 73.900,00",Leilão ao vivo em: 2 dias 2h16m53s,24/06/2025,,,,,,,,,
HYUNDAI/HB20 COMFORT (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/hyundai/hb20-comfort-(4p)/ano.2017/9e4c8fa2-24f2-11f0-bcc9-02420a000216,N/A,GO,2016,142.935 km,"R$ 26.000,00",Leilão ao vivo em: 2 dias 2h17m16s,24/06/2025,,,,,,,,,
CHEVROLET/PRISMA LT 1.4 MECANICO (4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/chevrolet/prisma-lt-1.4-mecanico-(4p)/ano.2016/9c25c9c3-0b25-11f0-8c72-02420a00002d,N/A,DF,2015,330.542 km,"R$ 28.000,00",Leilão ao vivo em: 2 dias 2h18m9s,24/06/2025,,,,,,,,,
HYUNDAI/I30 (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/hyundai/i30-(2p%2F4p)/ano.2011/9999915b-2138-11f0-bcc9-02420a000216,N/A,GO,2010,230.370 km,"R$ 23.900,00",Leilão ao vivo em: 2 dias 2h18m31s,24/06/2025,,,,,,,,,
FORD/FIESTA,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/fiesta/ano.1996/f72b6e8d-4a26-11ed-a391-02420a000011,N/A,GO,2096,13.338 km,-,Leilão: Leilão: 24/06/2025 Ter • 12:30,24/06/2025,,,,,,,,,
MITSUBISHI/L200 TRITON HPE D,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/mitsubishi/l200-triton-hpe-d/ano.2015/723a1afd-29c9-11f0-9f79-02420a000005,N/A,GO,2014,323.575 km,"R$ 64.700,00",Leilão ao vivo em: 2 dias 2h19m45s,24/06/2025,,,,,,,,,
MERCEDES-BENZ/C-180 TURBO (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/mercedes-benz/c-180-turbo-(4p)/ano.2013/4f611ec7-0b00-11f0-8c72-02420a00002d,N/A,GO,2013,92.128 km,"R$ 38.600,00",Leilão ao vivo em: 2 dias 2h20m9s,24/06/2025,,,,,,,,,
CAOA-CHERY/CELER FLEX HATCHBACK (4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/caoa-chery/celer-flex-hatchback-(4p)/ano.2013/87faa8fe-2137-11f0-bcc9-02420a000216,N/A,DF,2013,162.192 km,"R$ 12.500,00",Leilão ao vivo em: 2 dias 2h20m57s,24/06/2025,,,,,,,,,
HONDA/CIVIC LX,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/honda/civic-lx/ano.2020/85f19cec-b17c-11ef-8e48-02420a000017,N/A,GO,2020,120.165 km,"R$ 64.000,00",Leilão ao vivo em: 2 dias 2h21m22s,24/06/2025,,,,,,,,,
VOLKSWAGEN/NOVO GOL (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/novo-gol-(4p%2F2p)/ano.2014/92587b62-2143-11f0-bcc9-02420a000216,N/A,GO,2013,131.379 km,"R$ 19.400,00",Leilão ao vivo em: 2 dias 2h21m44s,24/06/2025,,,,,,,,,
FORD/KA HATCH SE 1.0 B (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ka-hatch-se-1.0-b-(4p)/ano.2018/bdd46926-663d-11ef-a9ca-02420a0000bb,N/A,GO,2018,226.860 km,"R$ 23.500,00",Leilão: Leilão: 24/06/2025 Ter • 12:30,24/06/2025,,,,,,,,,
VOLKSWAGEN/GOL 1.0 (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-1.0-(2p%2F4p)/ano.2007/8e7a0f98-ea20-11ef-903d-02420a000042,N/A,GO,2006,194.161 km,-,Leilão ao vivo em: 2 dias 2h22m25s,24/06/2025,,,,,,,,,
RENAULT/SANDERO AUTHENTIQUE (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/sandero-authentique-(2p%2F4p)/ano.2015/ebc6d505-d26c-11ef-903d-02420a000042,N/A,GO,2014,168.110 km,"R$ 17.700,00",Leilão ao vivo em: 2 dias 2h22m50s,24/06/2025,,,,,,,,,
FIAT/MOBI DRIVE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/mobi-drive-(4p)/ano.2018/a67a642e-0115-11f0-8c72-02420a00002d,N/A,GO,2017,120.572 km,"R$ 22.600,00",Leilão ao vivo em: 2 dias 2h23m44s,24/06/2025,,,,,,,,,
FORD/RANGER XLT CABINE DUPLA 2 25C,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ranger-xlt-cabine-dupla-2-25c/ano.2017/b2fc25ae-f539-11ef-bd15-02420a00000b,N/A,GO,2016,174.219 km,"R$ 59.400,00",Leilão ao vivo em: 2 dias 2h24m8s,24/06/2025,,,,,,,,,
VOLKSWAGEN/T CROSS HIGHLINE AE,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/t-cross-highline-ae/ano.2020/2d23b62d-e981-11ef-903d-02420a000042,N/A,GO,2019,87.137 km,"R$ 58.100,00",Leilão ao vivo em: 2 dias 2h24m22s,24/06/2025,,,,,,,,,
NISSAN/VERSA ADVANCE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/nissan/versa-advance-(4p)/ano.2022/6c28f2a5-cec8-11ef-8e48-02420a000017,N/A,GO,2021,111.627 km,"R$ 47.400,00",Leilão ao vivo em: 2 dias 2h24m46s,24/06/2025,,,,,,,,,
FIAT/MOBI LIKE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/mobi-like-(4p)/ano.2018/46e0b0a7-e0a5-11ef-903d-02420a000042,N/A,GO,2018,98.392 km,"R$ 23.300,00",Leilão ao vivo em: 2 dias 2h25m9s,24/06/2025,,,,,,,,,
FIAT/PALIO ATTRACT (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/palio-attract-(4p)/ano.2013/d55be659-04c1-11f0-8c72-02420a00002d,N/A,GO,2013,198.178 km,"R$ 19.700,00",Leilão ao vivo em: 2 dias 2h26m5s,24/06/2025,,,,,,,,,
FIAT/SIENA FIRE FLEX (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/siena-fire-flex-(2p%2F4p)/ano.2010/8f0c28dc-05cc-11f0-8c72-02420a00002d,N/A,GO,2009,222.289 km,"R$ 13.200,00",Leilão ao vivo em: 2 dias 2h26m27s,24/06/2025,,,,,,,,,
FIAT/STRADA ADVENTURE CABINE DUPLA,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/strada-adventure-cabine-dupla/ano.2012/07ed0b47-1002-11f0-8c72-02420a00002d,N/A,GO,2012,163.888 km,"R$ 26.800,00",Leilão ao vivo em: 2 dias 2h26m52s,24/06/2025,,,,,,,,,
FIAT/FIORINO 1.4 FLEX,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/fiorino-1.4-flex/ano.2015/b8ed23ea-1486-11f0-b6cf-02420a00009e,N/A,GO,2014,262.132 km,"R$ 29.600,00",Leilão ao vivo em: 2 dias 2h27m16s,24/06/2025,,,,,,,,,
GM/CELTA 4P LIFE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/gm/celta-4p-life-(4p)/ano.2010/655afc75-4a27-11ed-a391-02420a000011,N/A,GO,2010,N/A,"R$ 8.600,00",Leilão: Leilão: 24/06/2025 Ter • 12:30,24/06/2025,,,,,,,,,
FIAT/PALIO FIRE ECONOMY (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/palio-fire-economy-(2p%2F4p)/ano.2010/653f1417-4a27-11ed-a391-02420a000011,N/A,GO,2009,N/A,"R$ 10.400,00",Leilão: Leilão: 24/06/2025 Ter • 12:30,24/06/2025,,,,,,,,,
KIA/SOUL EX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/kia/soul-ex-(4p)/ano.2010/b4ea0a4c-82e4-11ed-b848-02420a000015,N/A,GO,2009,165.962 km,"R$ 20.400,00",Leilão ao vivo em: 2 dias 2h28m53s,24/06/2025,,,,,,,,,
FORD/KA HATCH SE 1.0 (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ka-hatch-se-1.0-(4p)/ano.2016/0102fe08-2309-11ee-8751-02420a000029,N/A,GO,2016,12.362 km,"R$ 22.500,00",Leilão ao vivo em: 2 dias 2h29m16s,24/06/2025,,,,,,,,,
CHEVROLET/MONTANA,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/montana/ano.2004/f3413015-32bd-11ee-952b-02420a000034,N/A,GO,2004,202.107 km,"R$ 14.200,00",Leilão: Leilão: 24/06/2025 Ter • 12:30,24/06/2025,,,,,,,,,
FIAT/FIORINO 1.4 FLEX,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/fiorino-1.4-flex/ano.2014/e5544d86-9440-11ee-b165-02420a000056,N/A,GO,2014,115.287 km,"R$ 24.600,00",Leilão: Leilão: 24/06/2025 Ter • 12:30,24/06/2025,,,,,,,,,
CHEVROLET/ONIX LT 1.0 MECANICO (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-lt-1.0-mecanico-(4p)/ano.2017/454f0306-3ef1-11ef-9bb1-02420a00002f,N/A,GO,2016,66.528 km,"R$ 26.700,00",Leilão ao vivo em: 2 dias 2h30m25s,24/06/2025,,,,,,,,,
CHEVROLET/ASTRA SEDAN ADVANTAGE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/astra-sedan-advantage-(4p)/ano.2011/b2da686b-8bba-11ef-a6ca-02420a000013,N/A,GO,2010,190.219 km,"R$ 18.200,00",Leilão ao vivo em: 2 dias 2h30m49s,24/06/2025,,,,,,,,,
VOLKSWAGEN/CROSSFOX (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/crossfox-(2p%2F4p)/ano.2006/7174621b-b276-11ef-8e48-02420a000017,N/A,GO,2005,269.577 km,"R$ 14.500,00",Leilão ao vivo em: 2 dias 2h31m11s,24/06/2025,,,,,,,,,
KIA/SOUL EX FF AT (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/kia/soul-ex-ff-at-(4p)/ano.2013/65dbb2c9-b317-11ef-8e48-02420a000017,N/A,GO,2012,150.873 km,"R$ 27.800,00",Leilão ao vivo em: 2 dias 2h31m36s,24/06/2025,,,,,,,,,
CHEVROLET/SPIN 1.8L AT ACTIV,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/spin-1.8l-at-activ/ano.2018/8c46c8c8-b33f-11ef-8e48-02420a000017,N/A,GO,2017,158.875 km,"R$ 35.300,00",Leilão ao vivo em: 2 dias 2h31m59s,24/06/2025,,,,,,,,,
FIAT/SIENA EL FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/siena-el-flex-(4p)/ano.2015/73ad0c8a-cf62-11ef-8e48-02420a000017,N/A,GO,2014,275.436 km,"R$ 20.500,00",Leilão ao vivo em: 2 dias 2h32m23s,24/06/2025,,,,,,,,,
FORD/FUSION FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/fusion-flex-(4p)/ano.2013/9904e2f4-db0f-11ef-903d-02420a000042,N/A,GO,2013,1.279.762 km,"R$ 34.500,00",Leilão ao vivo em: 2 dias 2h32m45s,24/06/2025,,,,,,,,,
JEEP/RENEGADE SPORT AUTOMATICO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/jeep/renegade-sport-automatico/ano.2016/de910acd-df10-11ef-903d-02420a000042,N/A,GO,2015,78.206 km,"R$ 36.100,00",Leilão ao vivo em: 2 dias 2h33m9s,24/06/2025,,,,,,,,,
FIAT/PALIO WEEKEND ADVENTURE FLEX,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/palio-weekend-adventure-flex/ano.2010/5a76e9f6-e4c1-11ef-903d-02420a000042,N/A,GO,2010,186.294 km,"R$ 17.500,00",Leilão ao vivo em: 2 dias 2h33m30s,24/06/2025,,,,,,,,,
TOYOTA/COROLLA GLI FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/toyota/corolla-gli-flex-(4p)/ano.2011/bfe2d546-ead0-11ef-bd15-02420a00000b,N/A,GO,2010,176.292 km,"R$ 29.600,00",Leilão ao vivo em: 2 dias 2h33m54s,24/06/2025,,,,,,,,,
CITROEN/C3 EXC A FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/citroen/c3-exc-a-flex-(4p)/ano.2012/bed2e372-eb07-11ef-bd15-02420a00000b,N/A,GO,2011,156.050 km,"R$ 17.100,00",Leilão ao vivo em: 2 dias 2h34m19s,24/06/2025,,,,,,,,,
VOLKSWAGEN/AMAROK CABINE DUPLA HIGHLINE,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/amarok-cabine-dupla-highline/ano.2011/391ef599-f078-11ef-bd15-02420a00000b,N/A,GO,2010,357.787 km,"R$ 39.200,00",Leilão ao vivo em: 2 dias 2h34m40s,24/06/2025,,,,,,,,,
FORD/FIESTA SEDAN 1.6 FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/fiesta-sedan-1.6-flex-(4p)/ano.2013/80780d0d-f69e-11ef-9028-02420a000044,N/A,GO,2012,92.799 km,"R$ 17.400,00",Leilão ao vivo em: 2 dias 2h35m3s,24/06/2025,,,,,,,,,
CHEVROLET/AGILE LT (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/agile-lt-(4p)/ano.2010/08be9f02-000b-11f0-8c72-02420a00002d,N/A,GO,2010,106.981 km,"R$ 14.200,00",Leilão ao vivo em: 2 dias 2h35m26s,24/06/2025,,,,,,,,,
CHEVROLET/CLASSIC LIFE (2P/4P),https://leilo.com.br/leilao/cuiaba-mato-grosso/carros/chevrolet/classic-life-(2p%2F4p)/ano.2008/b0816398-c4f4-11ee-843f-02420a00007b,N/A,MT,2008,145.911 km,"R$ 11.300,00",Leilão ao vivo em: 2 dias 2h35m52s,24/06/2025,,,,,,,,,
VOLKSWAGEN/GOL 1.0 (2P/4P),https://leilo.com.br/leilao/serra-espirito-santo/carros/volkswagen/gol-1.0-(2p%2F4p)/ano.2010/a7f81829-37f5-11f0-bd5d-02420a000005,N/A,ES,2010,219.590 km,"R$ 12.900,00",Leilão ao vivo em: 2 dias 2h36m16s,24/06/2025,,,,,,,,,
RENAULT/SANDERO EXPRESSION (4P),https://leilo.com.br/leilao/serra-espirito-santo/carros/renault/sandero-expression-(4p)/ano.2012/02695953-37d3-11f0-bd5d-02420a000005,N/A,ES,2011,103.349 km,"R$ 16.000,00",Leilão ao vivo em: 2 dias 2h36m40s,24/06/2025,,,,,,,,,
CITROEN/C4 GLX5P F (4P),https://leilo.com.br/leilao/cuiaba-mato-grosso/carros/citroen/c4-glx5p-f-(4p)/ano.2014/f33e5d8c-120e-11ef-b80e-02420a000059,N/A,MT,2013,N/A,"R$ 21.400,00",Leilão ao vivo em: 2 dias 2h36m57s,24/06/2025,,,,,,,,,
FORD/FIESTA HATCH S (4P),https://leilo.com.br/leilao/cuiaba-mato-grosso/carros/ford/fiesta-hatch-s-(4p)/ano.2015/f414fed7-8712-11ef-8310-02420a000019,N/A,MT,2014,154.636 km,"R$ 23.000,00",Leilão ao vivo em: 2 dias 2h37m21s,24/06/2025,,,,,,,,,
VOLKSWAGEN/GOL SPECIAL MB (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-special-mb-(4p%2F2p)/ano.2015/49b4298e-e2f8-11ef-903d-02420a000042,N/A,GO,2014,178.680 km,"R$ 20.200,00",Leilão ao vivo em: 2 dias 2h38m16s,24/06/2025,,,,,,,,,
VOLKSWAGEN/VOYAGE TRENDLINE MA S (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/voyage-trendline-ma-s-(4p)/ano.2015/eb3c5ca3-502b-11ef-a2f0-02420a0000f9,N/A,GO,2014,367.187 km,"R$ 21.700,00",Leilão ao vivo em: 2 dias 2h39m6s,24/06/2025,,,,,,,,,
FORD/KA HATCH SE 1.0 B (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ka-hatch-se-1.0-b-(4p)/ano.2018/17f7f223-d8c7-11ef-903d-02420a000042,N/A,GO,2018,160.078 km,"R$ 23.000,00",Leilão ao vivo em: 2 dias 2h39m29s,24/06/2025,,,,,,,,,
FIAT/PALIO FIRE ECONOMY (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/palio-fire-economy-(2p%2F4p)/ano.2010/e1115a8c-0a4d-11f0-8c72-02420a00002d,N/A,GO,2010,258.702 km,"R$ 13.400,00",Leilão ao vivo em: 2 dias 2h39m54s,24/06/2025,,,,,,,,,
VOLKSWAGEN/NOVO GOL TRENDLINE MCV (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/novo-gol-trendline-mcv-(4p%2F2p)/ano.2017/8008db5d-3589-11f0-9f79-02420a000005,N/A,GO,2017,158.813 km,"R$ 22.700,00",Leilão: Leilão: 24/06/2025 Ter • 12:30,24/06/2025,,,,,,,,,
FIAT/PALIO WEEKEND TREKKING,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/fiat/palio-weekend-trekking/ano.2010/d9448b21-16f9-11f0-b6cf-02420a00009e,N/A,DF,2009,247.905 km,"R$ 17.100,00",Leilão ao vivo em: 2 dias 2h40m41s,24/06/2025,,,,,,,,,
VOLKSWAGEN/GOL RALLYE (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-rallye-(4p%2F2p)/ano.2011/5b22c8b5-2467-11f0-bcc9-02420a000216,N/A,GO,2010,146.278 km,"R$ 17.000,00",Leilão ao vivo em: 2 dias 2h41m8s,24/06/2025,,,,,,,,,
HONDA/CIVIC LX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/honda/civic-lx-(4p)/ano.2004/1ab74b37-31b5-11f0-9f79-02420a000005,N/A,GO,2004,267.367 km,"R$ 12.600,00",Leilão: Leilão: 24/06/2025 Ter • 12:30,24/06/2025,,,,,,,,,
CITROEN/C3 AIRCROSS GLX,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/citroen/c3-aircross-glx/ano.2014/c6dde216-146f-11f0-b6cf-02420a00009e,N/A,DF,2013,169.997 km,"R$ 20.600,00",Leilão ao vivo em: 2 dias 2h41m55s,24/06/2025,,,,,,,,,
FORD/FIESTA SD SE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/fiesta-sd-se-(4p)/ano.2015/b70daf94-14c0-11f0-b6cf-02420a00009e,N/A,GO,2015,169.311 km,"R$ 22.800,00",Leilão ao vivo em: 2 dias 2h42m21s,24/06/2025,,,,,,,,,
TOYOTA/HILUX CD SRV 4FD,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/toyota/hilux-cd-srv-4fd/ano.2017/92744de6-19e9-11f0-bf87-02420a000088,N/A,GO,2017,168.702 km,"R$ 93.000,00",Leilão ao vivo em: 2 dias 2h42m46s,24/06/2025,,,,,,,,,
CHEVROLET/S10 HIGH COUNTRY DD4A CABINE DUPLA,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/s10-high-country-dd4a-cabine-dupla/ano.2021/40852015-300b-11f0-9f79-02420a000005,N/A,GO,2020,98.525 km,"R$ 100.900,00",Leilão: Leilão: 24/06/2025 Ter • 12:30,24/06/2025,,,,,,,,,
PEUGEOT/207 XR (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/peugeot/207-xr-(2p%2F4p)/ano.2010/8cf676b3-3281-11f0-9f79-02420a000005,N/A,GO,2009,N/A,"R$ 10.700,00",Leilão: Leilão: 24/06/2025 Ter • 12:30,24/06/2025,,,,,,,,,
VOLKSWAGEN/UP TAKE MA (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/up-take-ma-(2p%2F4p)/ano.2015/05d0f7bb-1af0-11f0-abeb-02420a0000a3,N/A,GO,2014,84.648 km,"R$ 19.400,00",Leilão ao vivo em: 2 dias 2h43m55s,24/06/2025,,,,,,,,,
VOLKSWAGEN/GOL SPECIAL MB (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-special-mb-(2p%2F4p)/ano.2016/37e40926-1196-11f0-8c72-02420a00002d,N/A,GO,2016,136.107 km,"R$ 21.300,00",Leilão ao vivo em: 2 dias 2h44m21s,24/06/2025,,,,,,,,,
HYUNDAI/HB20S COMFORTLINE (4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/hyundai/hb20s-comfortline-(4p)/ano.2017/ea3be339-1f8f-11f0-abeb-02420a0000a3,N/A,DF,2017,162.730 km,"R$ 32.200,00",Leilão ao vivo em: 2 dias 2h44m45s,24/06/2025,,,,,,,,,
CHEVROLET/COBALT LTZ (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/cobalt-ltz-(4p)/ano.2012/b0cb4b11-21d7-11f0-bcc9-02420a000216,N/A,GO,2012,178.717 km,"R$ 19.700,00",Leilão ao vivo em: 2 dias 2h45m10s,24/06/2025,,,,,,,,,
FIAT/SIENA FIRE FLEX (2P/4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/fiat/siena-fire-flex-(2p%2F4p)/ano.2008/a1d3f5e9-25da-11f0-bcc9-02420a000216,N/A,DF,2007,155.378 km,"R$ 12.400,00",Leilão ao vivo em: 2 dias 2h45m30s,24/06/2025,,,,,,,,,
VOLKSWAGEN/FOX GII 1.0 (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/fox-gii-1.0-(2p%2F4p)/ano.2013/dbe43f18-29d5-11f0-9f79-02420a000005,N/A,GO,2012,167.317 km,"R$ 18.400,00",Leilão ao vivo em: 2 dias 2h45m54s,24/06/2025,,,,,,,,,
FIAT/PALIO WEEKEND ADVENTURE FLEX,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/palio-weekend-adventure-flex/ano.2010/1846d883-2aaa-11f0-9f79-02420a000005,N/A,GO,2009,222.984 km,"R$ 17.600,00",Leilão ao vivo em: 2 dias 2h46m20s,24/06/2025,,,,,,,,,
FORD/FIESTA SE HA (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/fiesta-se-ha-(4p)/ano.2012/c04109e1-327f-11f0-9f79-02420a000005,N/A,GO,2011,113.068 km,"R$ 17.600,00",Leilão: Leilão: 24/06/2025 Ter • 12:30,24/06/2025,,,,,,,,,
FIAT/FREEMONT PRECISIO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/freemont-precisio/ano.2012/eabce4fb-2c3d-11f0-9f79-02420a000005,N/A,GO,2012,134.710 km,"R$ 26.200,00",Leilão: Leilão: 24/06/2025 Ter • 12:30,24/06/2025,,,,,,,,,
MERCEDES-BENZ/C-180 CGI (4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/mercedes-benz/c-180-cgi-(4p)/ano.2012/31583cf8-35ad-11f0-9f79-02420a000005,N/A,DF,2012,172.568 km,"R$ 36.000,00",Leilão: Leilão: 24/06/2025 Ter • 12:30,24/06/2025,,,,,,,,,
JEEP/COMPASS LONGITUDE D,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/jeep/compass-longitude-d/ano.2020/b764697b-319a-11f0-9f79-02420a000005,N/A,GO,2020,91.535 km,"R$ 63.600,00",Leilão ao vivo em: 2 dias 2h48m23s,24/06/2025,,,,,,,,,
MITSUBISHI/TRITON SPORT HPE,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/mitsubishi/triton-sport-hpe/ano.2022/b66aee77-2c40-11f0-9f79-02420a000005,N/A,GO,2021,124.717 km,"R$ 105.600,00",Leilão ao vivo em: 2 dias 2h49m19s,24/06/2025,,,,,,,,,
VOLKSWAGEN/VOYAGE CITY MA (4P),https://leilo.com.br/leilao/manaus-amazonas/carros/volkswagen/voyage-city-ma-(4p)/ano.2015/c0ce4f82-2c0f-11f0-9f79-02420a000005,N/A,AM,2014,167.453 km,"R$ 21.500,00",Leilão ao vivo em: 2 dias 2h49m42s,24/06/2025,,,,,,,,,
FIAT/ARGO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/argo/ano.2022/a98de04d-29d8-11f0-9f79-02420a000005,N/A,GO,2021,36.522 km,"R$ 33.000,00",Leilão ao vivo em: 2 dias 2h50m7s,24/06/2025,,,,,,,,,
FIAT/MOBI LIKE (4P),https://leilo.com.br/leilao/manaus-amazonas/carros/fiat/mobi-like-(4p)/ano.2020/a18433e5-25fe-11f0-bcc9-02420a000216,N/A,AM,2019,110.977 km,"R$ 24.700,00",Leilão ao vivo em: 2 dias 2h51m3s,24/06/2025,,,,,,,,,
PEUGEOT/208 ACTIVE PACK (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/peugeot/208-active-pack-(4p)/ano.2016/6a6bf853-21f9-11f0-bcc9-02420a000216,N/A,GO,2016,102.507 km,"R$ 23.100,00",Leilão ao vivo em: 2 dias 2h51m51s,24/06/2025,,,,,,,,,
RENAULT/SANDERO EXPRESSION (4P),https://leilo.com.br/leilao/manaus-amazonas/carros/renault/sandero-expression-(4p)/ano.2012/65912306-2430-11f0-bcc9-02420a000216,N/A,AM,2012,130.887 km,"R$ 16.100,00",Leilão ao vivo em: 2 dias 2h52m15s,24/06/2025,,,,,,,,,
